date	channel	campaign_id	impressions	clicks	cost_text
01/03/2025	google	brand	7236	145	USD 171.1
01/03/2025	meta	nonbrand	10167	229	USD 248.16
01/03/2025	meta	prospecting	5569	46	USD 141.9
01/03/2025	meta	retargeting	9494	77	USD 238.92
01/03/2025	email	newsletter	1328	27	USD 30.32
01/03/2025	meta	promo	1755	43	USD 43.5
01/03/2025	google	awareness	1496	8	USD 41.2
01/03/2025	display	retargeting	2421	18	USD 63.81
02/03/2025	email	brand	8712	197	USD 209.38
02/03/2025	meta	nonbrand	7432	201	USD 185.82
02/03/2025	meta	prospecting	7593	71	USD 195.03
02/03/2025	display	retargeting	8033	34	USD 207.39
02/03/2025	google	newsletter	2288	49	USD 64.22
02/03/2025	meta	promo	1838	34	USD 49.09
02/03/2025	email	awareness	2984	22	USD 74.36
02/03/2025	meta	retargeting	3478	37	USD 87.39
03/03/2025	display	brand	10664	182	USD 264.1
03/03/2025	google	nonbrand	14433	329	USD 352.73
03/03/2025	meta	prospecting	5960	27	USD 152.82
03/03/2025	meta	retargeting	6488	35	USD 163.75
03/03/2025	email	newsletter	2774	45	USD 69.68
03/03/2025	email	promo	2250	40	USD 58.31
03/03/2025	email	awareness	4259	61	USD 103.85
03/03/2025	google	retargeting	2122	22	USD 58.23
04/03/2025	meta	brand	10220	199	USD 255.08
04/03/2025	google	nonbrand	9806	178	USD 244.59
04/03/2025	meta	prospecting	8145	71	USD 201.66
04/03/2025	email	retargeting	4102	37	USD 100.75
04/03/2025	email	newsletter	2454	41	USD 71.54
04/03/2025	email	promo	2743	41	USD 72.79
04/03/2025	display	awareness	3786	12	USD 90.51
04/03/2025	meta	retargeting	3027	31	USD 74.25
05/03/2025	meta	brand	11241	210	USD 279.34
05/03/2025	google	nonbrand	11986	222	USD 299.25
05/03/2025	google	prospecting	7972	59	USD 195.16
05/03/2025	email	retargeting	9484	84	USD 235.1
05/03/2025	email	newsletter	2752	46	USD 70.17
05/03/2025	email	promo	2091	47	USD 55.05
05/03/2025	meta	awareness	4397	68	USD 107.87
05/03/2025	email	retargeting	2744	28	USD 71.18
06/03/2025	google	brand	11848	234	USD 292.95
06/03/2025	email	nonbrand	10931	211	USD 260.06
06/03/2025	meta	prospecting	7318	89	USD 182.42
06/03/2025	meta	retargeting	7630	82	USD 188.56
06/03/2025	display	newsletter	2178	40	USD 46.51
06/03/2025	meta	promo	2522	69	USD 59.15
06/03/2025	display	awareness	3961	34	USD 99.83
06/03/2025	meta	retargeting	3766	35	USD 105.76
07/03/2025	google	brand	11243	281	USD 282.76
07/03/2025	google	nonbrand	7756	154	USD 194.66
07/03/2025	meta	prospecting	5279	63	USD 133.15
07/03/2025	display	retargeting	5866	44	USD 144.07
07/03/2025	google	newsletter	2846	57	USD 58.3
07/03/2025	google	promo	2168	42	USD 50.85
07/03/2025	display	awareness	3722	31	USD 93.24
07/03/2025	display	retargeting	4089	15	USD 115.55
08/03/2025	email	brand	6736	127	USD 170.12
08/03/2025	google	nonbrand	8884	199	USD 219.48
08/03/2025	google	prospecting	4974	68	USD 119.69
08/03/2025	google	retargeting	5452	56	USD 139.95
